class_name,class_description,studio_name
prenatal,"We believe in a life long practice. As you step into a new stage, you need new information and variety in your postures. This class supports and strengthens our pregnant yogis. Come move, breathe, connect with each other, ease common aches and pains of pregnancy, and prepare for delivery. All levels welcome! ",The corner
Candlelit Evening Restorative,Rest and restore with this beautiful candlelight class. You'll move through restorative postures incorporating the use of props to help release and free any tension in the mind-body. This class is slow paced and perfect for those looking for a relaxing and rejuvenating experience.,Llamaste
Tone & Flow,"This class is the perfect compliment to a regular yoga practice. You’ll combine free weights, squats, lunges, yoga postures, cardio, and upbeat tunes to build lean muscle strength, tone your body and boost metabolism. Remember to bring your water bottle! ",Kala Yoga
Restorative Yoga,"Unwind in this restorative class that uses bolsters and blocks to set your body up for total relaxation. The use of various props to support the body in positions of comfort and ease is designed to facilitate relaxation and improved health, gently encouraging your body into a state of equanimity. ",Kala Yoga
Restore & Reset,"Restore & Reset is a gentle restorative class that combines yoga, meditation and the healing energetic touch of reiki. The perfect combination to allow your body and mind to surrender and relax.
Led by two teachers, this experience will definitely get you out of your head and into your body!",Modo Yoga NYC
Restorative Yoga,"A gentle and rejuvenating yoga class. This practice uses props and seated/floor postures held for longer periods of time to produce deep relaxation of the body, mind, and spirit. Restorative yoga is a wonderful way to balance the intensity of living in NYC. All levels welcome.",Yoga Spa
Restorative yoga,"Restorative yoga is a very gentle, relaxing practice that focuses on releasing stress.  Lots of time will be spent lying down and using props to hold the body rather than using your own strength.",Baby Cobra Yoga
Restorative,"This class is for students of all levels. By supporting the body with props, poses are held longer. Poses emphasize deep release and rejuvenate the body and mind.",Samamkaya Yoga. Back Care
Restorative Yoga,"Give yourself a luxury that will lengthen and relax your muscles and change your body's response to stress! The antidote to stress is relaxation. Our bodies need deep rest -- collapsing on the couch in front of the tv is not deep rest! Restorative yoga helps the body and mind relax, allowing us to regain equilibrium. There is very little movement; poses are held anywhere from five to 15 minutes, but every part of your body is completely supported by props. Truly anyone can practice, and will benefit from, restorative yoga. This class will also incorporate some pranayama breathing, meditation, and a little yin stretching to keep the fascia pliant and joints mobile.
A little more about restorative: We spend most of our lives in the ""fight-or-flight"" sympathetic nervous system. Our bodies do not make the distinction between the small stresses of daily life (being late for work), a more serious personal crisis, or a life-threatening situation -- in all cases, bodies respond with the release of adrenaline, cortisol, and other hormones. Heart rate, blood pressure, and muscle tension are all increased. The body also shuts down systems that are deemed non-essential, such as digestion, elimination, growth, repair, and reproduction. This is great if we are being chased by a bear, but in most cases our bodies overreact to the chronic stress of our lives.",Second Story. Pilates+Yoga
Integrative Restorative,"Focusing on a holistic approach to health, these classes are appropriate for all practitioners who would like to experience deep relaxation and restoration, including those working with a variety of health challenges. The classes use many props (blocks, blankets, bolsters, adaptable as needed for online students) and include a blend of gentle movement, long-held gentle yoga postures, energy work, breath awareness, guided visualizations, and aromatherapy. A wise yogi adds at least one Integrative Restorative class to their practice each week to heal deeply.",Upper West Side Yoga and Wellnes
Restorative,This is a practice that is all about slowing down and opening your body through passive stretching. During the long holds of restorative your muscles are allowed to relax deeply by using props for support. Great when you're stressed and/or not sleeping enough.,Nkisoy Yoga
REST & RESTORE,"When Restoration is called for, whether physically, mentally, or emotionally; this class is designed to support you, to release tension by allowing props to do the yoga for you and activating the parasympathetic nervous system. As you allow your body to release tension, you create blood flow and space for your body, mind, and soul to rest and restore.  (Unheated- use of bolsters/pillows, blankets, and blocks)",Yoga Tribe Brooklyn
RESTORATIVE YOGA,"Expect long holds in supported, relaxing poses. Restorative Yoga offers therapeutic tools to balance the nervous system in order to truly rest and replenish energy. Students will access states of deep mind and body relaxation through the architecture of restorative poses. Health benefits of a consistent restorative practice may include lowered blood pressure and blood sugar levels, reduced insomnia or anxiety, balanced menstruation, improved digestion.",Skyting
Restorative Yoga,"In this crazy world we live in it is common to find ourselves existing in fight or flight mode (running from a bear!) in our day to day lives. This class is a chance to carve out space for quiet and stillness, so that the rest and digest portion of your nervous system can get some much needed TLC. Choose rest as a priority! This practice is totally passive and supported with props, and is perfect for anyone and everyone.
",Be Yoga
Restore,,Yoga Maya
Unwind & Restore,"Unwind & Restore is a blend of gentle, yin and restorative yoga. The practice is very meditative with emphasis on breathing techniques that sooth and rebalance the body and mind. The long holds provide opportunity to go deep into the poses, increasing flexibility in the tendons, ligaments and even fascia. At the same time the props allow  us to modify the poses to make them safe and appropriate for all levels of yoga students, from beginner to advanced
",Pure Bliss Yoga
Restore,Props are used to support the body fully for no muscular effort in creating the poses. Experience ease and no strain during the long holds which allow for deep internal reflection and the nervous system to shift into rest and digest.,Honor Yoga
RESTORATIVE YOGA,"In this gentle class you will truly learn what it is to relax. This class is practiced solely on the mat in restful and reclined positions using blankets, bolsters and blocks to support your body and release all tension. It is the perfect way to relieve stress and connect with the self. No yoga experience required.",Sury Aside
Restorative Yoga,"Restorative Yoga, brings deep relaxation and balance to ​both the mind and body. This style of yoga typically ​consists of only a few postures. Props such as blankets, ​bolsters, blocks, and straps are offered in different ​variations and can be adjusted in each pose as needed.",Sol City
Restorative,Start your morning or end your day with this rejuvenating and slow paced restorative practice to bring in gentle movement for the day ahead or evening awaiting. You'll awaken the body and move with grace and ease. Props are incorporated.,Llamaste
Caroline's Weekend Restorative,Cap off your weekend with this rejuvenating and slow paced restorative practice to bring in gentle movement for the week that awaits you. You'll awaken the body and move with grace and ease. Props are incorporated. All levels are welcome.,Llamaste
restorative,"Restorative yoga is a passive healing practice that encourages physical, mental, and emotional relaxation. This style of yoga is known for its ability to activate the parasympathetic nervous system and induce the relaxation response already available in the body. Appropriate for all levels, Restorative is practiced at a slow pace focusing on long holds (10-15 minutes per pose), stillness, and deep breathing with the use of props such as blocks, bolsters, towels, and/or blankets (BYOB), allowing you to feel comfortable and supported.",The corner
SPA,"“Yoga Spa offers customers multiple treatments to optimize wellness and sustainable health. The minimal, colorful, fragrant atmosphere makes it clear that Yoga Spa was built to provide visitors a relaxing home away from home, away from the city’s frantic energy. ”   - Huffington Post",Yoga Spa
Advance Vinyasa,,Baby Cobra Yoga
Ashtanga Inspired Vinyasa,"The Ashtanga primary series - also known as Yoga Chikitsa, meaning yoga therapy - is practiced for its cleansing and toning effects on the mind, body and spirit. It’s sequenced practice grows into poses, class after class, as your body marries with the muscle memory of repetition. This class will be physically challenging as we follow pieces of the traditional Ashtanga sequence. All levels are welcome as this is a great introduction to a powerful practice. ",Daya
Vinyasa,"This invigorating and dynamic class is for anyone who enjoys twisting, turning, bending backwards and going upside down — or wants to learn how! Move with your breath and transition from one pose to another. The class builds strength, stamina, and flexibility, and will leave you feeling young and happy like a kid again.",Living Yoga
Meridian Vinyasa,"Get in tune with your body! Each pose stimulates specific meridians throughout the body, encouraging a balanced energy flow of from head-to-toe, and promoting a greater sense of mental wellness through physical mindfulness.",Daya
Lunch Express  (for beginners),"A shorter flowing practice that packs many of the benefits of our vinyasa classes into your lunch hour. Because it’s just 45 minutes long, this class is perfect for those who work nearby and need a midday break between meetings and Zoom calls. You’ll feel that extra boost of energy that will help power you through the rest of the day.",Living Yoga
Vinyasa II,"Prior yoga experience required. Marrying breath with movement, this practice will introduce more advanced Asana & dynamic sequences. Come bring your Vinyasa practice to a new level!",Daya
45min Beginners Ashtanga Vinyasa Yoga,"What is Ashtanga Yoga?
In Sanskrit, ashtanga means eight-limbed (asta- eight, anga- limb). Ashtanga Yoga is an eight-limbed path towards achieving the state of Yoga, also known as Samadhi. 
The definition of Ashtanga Yoga is found in the Yoga Sutras of Patañjali, an ancient text on the theory and practice of Yoga thought to have been compiled in about 200 CE by Sage Patañjali. 
The Yoga Sutras of Patañjali is comprised of 196 sutras- short philosophical statements - on the theory and practice of Yoga, divided into four books, or padas. The Yoga Sutras are so succinct and are therefore almost incomprehensible without commentary. The most definitive commentary is by Veda Vyasa; his commentary is known as the Yoga Bhasya.
The Yoga Sutras begin with the highest teachings first, for those ready to enter into the final limbs of practice. In the second sutra of the first chapter, Samadhi Pada, we are offered the definition of Yoga: “Yogas citta vritti nirodah”, which can be translated as “Yoga is the cessation of the fluctuations of the mind.” When the mind is stilled, and the state of Yoga is reached, the individual mind is at one with the Universal Mind and individual consciousness with Divine Consciousness, and we experience our divinity through unity. 
Yoga is not only the state of Yoga, but also the practice, or sadhana, we engage in on the path towards Yoga. 
The definition of the eight-limbed path that leads to Yoga is found in book two of the Yoga Sutras of Patañjali, Sadhana Pada, the chapter on yoga practice. Sutra 2.29 states: “Yama-niyama-asana-pranayama-pratyahara-dharana-dyana-samadhyaya-astavangani.” This can be translated as: “the eight limbs of yoga are yama, niyama, asana, pranayama, pratyahara, dharana, dhyana, and samadhi.” ",New Vibe Yoga
FOUNDATIONAL VINYASA,"The Urban Sadhu Yoga Foundational Vinyasa, the second stage in the course, will work as a structured learning curriculum that will allow a student to apply what was learned in Urban Sadhu Yoga Fundamentals to a vinyasa class style class and build onto that knowledge. This class type was developed out of our observation that many students needed a transitional program from Urban Sadhu Yoga Fundamentals of Yoga to Urban Sadhu Yoga Open Classes. This class type will prepare and give them the skills and confidence to move forward. The course is divided into 4 sections: week 1 standing asanas, week 2 forward fold asanas, week 3 back bending asanas, and week 4 inversions.",Urban Sadhu Yoga
Open Level Vinyasa Yoga,"This hour long, open level class will focus on traditional yoga postures, fluid sequences, and breathing practices. Variations and modifications are available for practitioners of all levels, so that each student can experience a balance of effort and ease in their practice. Come ready to move and breathe and leave feeling centered and refreshed.",Second Story. Pilates+Yoga
Radiance Flow /Radiance Hour (Open Level) - (Vinyasa Yoga),"Radiance Flow /Radiance Hour (Open Level) - (Vinyasa Yoga) This class turns up the heat to radiant! It builds to a vigorous (medium to fast paced) flow and it includes some advanced asanas.  It is recommended that you have knowledge of the basic yoga postures in advance. Modifications are welcomed and will be offered, whether to make the poses more accessible or more challenging.  The practice gradually mellows out to finish with a blissful meditation and savasana.",Pure Bliss Yoga
Vinyasa Yoga,"Vinyasa Yoga classes are slower moving and offer a less vigorous flow between poses but an equal challenge of endurance, flexibility and strength to our Vinyasa Flow classes.",The Yoga Room
Candlelit Vinyasa,,Baby Cobra Yoga
VINYASA (60 or 75min),"Welcoming practitioners of various fitness & lifestyle routines, this medium intensity class seamlessly transitions you from one posture to the next working & stretching in equal measure arms, legs, hips, glutes, front & back body. Poses in this multi-level class are weaved together in a rhythmic manner through the incorporation of breath at every level of the practice. With no more than 3 postures to a side, the sequences are well balanced so as not to fatigue muscles and overload joints – thus keeping the mind vibrant and continuously aware of its potential.
Expect to feel the power of your breath while developing full body strength and stability.",Souk Studio
Community Class,This vinyasa based Community Yoga Class is taught by rotating instructors who are graduates from Kala's Yoga Teacher Training or new yoga teachers on our amazing Work Exchange Team! These classes are offered on a donation basis to the community. It's a great way to allow a space for all to practice and for aspiring yoga teachers to blossom in their teaching skills!,Kala Yoga
Vinyasa Yoga,Mixed Level - Vinyasa Yoga will help you find the space between poses while retaining the rhythm of a flow yoga class.,I am so yoga
Community Karma Class,"Vinyasa Flow!
We're excited to announce a series of classes in our space to support our beloved community🕊
'Community is when people begin to care about one another, sharing things that are important to one another. Yoga is one of those things

The community class celebrates our diverse community coming together for a higher purpose, a deeper meaning, and for a more profound goal in life—and that is consciousness.
As a studio, donations are appreciated to help keep the lights on, provide a safe space for everyone in the community, and help support positive change.",Yoga Space
Community Classes,"Practice Traditional Hot or Hot Vinyasa for only $12 in one of our Community Classes! Choose the “$12 Community Class” option when you book online. If you have an unlimited package, you can also book these classes with it.",Spirit Lab
Vinyasa,"This energizing class emphasizes proper alignment and breath work as we move through sun salutations and vinyasa (flow). Each class offers a unique sequence to either highlight certain muscle groups or to accommodate a central focus; be it arm balances, inversions, or backbends. Modifications are always offered so that the fun can be shared by yogis of all levels.",Yoga Spa
Vinyasa,"Vinyasa yoga strings poses (asanas) and breath (pranayama) together into a fluid sequence of movements. Focus is not solely on the poses but on the transitions between poses as well. The fluidity of Vinyasa can help bring practitioners into a flow state, where the entire mind is absorbed in the present activity. This practice increases flexibility, strength and balance while reducing stress and increasing mental clarity.",Baby Cobra Yoga
Evening Vinyasa Flow,"Unwind from your day and shed excess tension with this fluid, open level practice. This class will mobilize the body with creative vinyasa sequencing, then calm and balance the nervous system with a soothing and restful finish. This class is for practitioners of all levels.",Second Story. Pilates+Yoga
Evening Creative Vinyasa Flow,End your day with this fun and vibrant traditional vinyasa flow. You'll blend traditional technique with creative sequencing to keep your practice fresh and versatile! All levels are welcome.,Llamaste
Vinyasa Flow,"Vinyasa Flow classes are faster moving classes, you will move with music from one pose to another.",The Yoga Room
Vinyasa,"An all-levels vinyasa class, linking deep breaths to mindful body movements. This class is offered by donation; you will not be charged when signing up. Donations will be accepted at the door.",Yoga Agora
Vinyasa Flow,"In Vinyasa Flow, we focus on cultivating breath and movement in an approachable and fun series of flows. The class will build strength and flexibility in your physical body while unleashing your inner bliss. Heated Vinyasa Flow classes use infrared radiant heat panels to make the room feel about 90 degrees, while non-heated classes are about 75-80 degrees. Come see all that yoga has to offer you!",Kala Yoga
Vinyasa yoga,"Vinyasa yoga is a sequence of postures that aims to tone the muscles, calm the mind, and strengthen the spirit. It is a dynamic sequences where poses flow into one another while synchronizing the breath with the movements. This practice aims at a continuous flow rather than holding the postures for extended period of time, relieving stress and expanding mindfulness.",SAKSHI BHAVA YOGA
Vinyasa Yoga,"Vinyasa Yoga is known for its fluid and dynamic practice, seamlessly using one’s breath to flow from one posture to the next. Every sequence presents a diverse variety of poses, and no two classes are alike. Every teacher creates unique sequences depending on the intent of the class. Some Vinyasa sequences focus on alignment, some open up specific chakras, some are energizing, and some are relaxing. Vinyasa is for you if you don’t like routine but still love to test your body’s physical boundaries. We always play music to keep things lively and set you into the mood for yoga. This class is perfect for beginners!",Yoga Hell
Vinyasa flow,"Open up with the Atmananda sequence, a body of knowledge experienced through Hatha, Ashtanga, and alignment based yoga to create a Vinyasa flow. Open and refresh the body with seven groups of asanas and seventy one powerful poses, while protecting yourself though proper placement of hands and feet to maintain correct alignment. Starting with sun salutations to warm up, going through various hip openers to release tension, forward bends to fire digestion, back bends to open the heart, arm balances to tone and strengthen the body and inversions to reverse gravity. Movement begins with the breath bringing awareness to our body’s vital energy, Prana. Our breath brings attention to detail and is the foundation of a healthy Yoga practice. Health is wealth, so a consistent sequence focused on proper alignment is our method.",Atmananda
Vinyasa Flow,"Get ready to sweat in this focused and challenging 60 minute The Yoga Common Signature Flow. Designed to elevate the heart rate, build stamina and strengthen the body and the mind. Discover the magic and awe in moving the body, testing its limits, using the physical as a tool to transcend into the spiritual and intangible.
Our Vinyasa Flow is an intermediate level class - a basic understanding of yoga postures is recommended.",The Yoga Common
Bhakti Vinyasa Yoga Flow,"This class explores the devotional essence of yoga by connecting the breath to the mind, body, and soul through physical movement. Yoga asana (postures), philosophy, pranayama (breathing techniques), mantra meditation (transcending the mind), mudras (hand gestures that evoke meaning), and devotional chants and songs to raise your vibration are elements of this 75 minute class. This dynamic, invigorating class is an alignment and fluid vinyasa based practice for students who have a foundation and understanding of the poses and language. This is a great opportunity for moving, breathing, opening, and exploring your personal depths and limits.",Second Story. Pilates+Yoga
Slow Flow Vinyasa Yoga,"In this relaxed breath to movement practice, we will focus on restoring our nervous system by exploring conscious breath techniques, moving with awareness, and slowing down to find nourishment. Meditative elements will be infused to harmonize our physical, mental, emotional, and energetic systems. This all levels class is open to all practitioners.",Second Story. Pilates+Yoga
Vinyasa Flow,"Studio located in the heart of Greenpoint at 738 Manhattan Ave.
Vinyasa flow, essential oil, singing bowl - the symbiosis of the atmosphere will immerse you in the wonderful world of harmony and relaxation.

Your mental and physical condition will recover and you will feel a surge of strength for a productive week.",Yoga Space
Vinyasa Flow,"Open up your physical body with a warm up of fluid movements, a series of stretches, and joint mobilizations. Bring focus to your subtle body through a moderately paced, mindful slow vinyasa flow, finishing with restorative back bends and forward bends to nourish and replenish the body.",NY loves Yoga
HOT VINYASA FLOW,"Upper Body Toning

This 60-minute vinyasa class is vigorous, combining upper body strength, flexibility and cardio and are designed for students of all levels. Postures are linked together and move smoothly from one pose into the next. You will develop core strength, upper body strength, flexibility in the shoulders, legs and spine plus improved concentration in this class. This class is set to music. Room temperature is approximately 95 degrees. ",Bode NYC
VINYASA FLOW,"Less holding and more flow, our vinyasa classes tap into grace and strength as your body enjoys a full range of motion. No heat is needed as the constant flow with your breath will help you to find your heat! (Unheated)",Yoga Tribe Brooklyn
VINYASA FLOW,"Vinyasa is often called flow yoga. Like a moving meditation, this style of yoga is performed by linking together several postures and movements in relation to the breath. This creates a flowing sequence that invokes a feeling of connection through seamless transitions.",Be U
Bill's long-Asana Vinyasa Flow,"Did you ever feel like your yoga practice was too short and that you simply wanted more? If yes, then this class is the one for you. Join Llamaste Founder Bill as he guides you through a 75 minute sequence incorporating breath, movement, and relaxation.
You will begin with a guided meditation where Bill introduces breath and slow body movement to warm you up, preparing you for the your vinyasa sequence as you power through a series of postures igniting your mind, body and spirit as you increase your flexibility, tone your core and work up a sweat. You will also have the opportunity to work on your inversion practice.

We end off in a relaxing cooling down sequence leading you to your savasana, which will leave you feeling both relaxed and recharged.",Llamaste
flow (vinyasa),"Vinyasa is a Sanskrit word that means 'to place' (nyasa) 'in a special or sacred way' (vi). Essentially it means to move between poses thoughtfully. Staying present in body and breath.What does that mean for The Corner? Creative sequencing by your favorite teachers, sharing their favorite ways to move in this practice. Find the teachers who speak to you as you explore our schedule. One movement, one breath – sure some; long holds and breathe – that too! We show up for you exactly as you are. All welcome - always. Guarantees: options, autonomy, connection, room for play in your practice.",The corner
Gentle Vinyasa,"With a gentle touch, this class offers a dynamic flowing sequence to energize and awaken the mind and body - emphasizing pranayama (breath work), marrying physical asana (pose) with the breath, focusing alignment, and practicing compassion for one’s self. New and experienced yogis alike, seeking a slower more relaxed practice, are welcome!",Daya
60min Ashtanga Vinyasa Yoga,,New Vibe Yoga
GENTLE VINYASA - IN-PERSON,"Turn your attention inward as you link your movement to your breath. The class begins with a slow, gentle warm up to and prepare your body for mindful movements in class.",Sury Aside
Warm Vinyasa,"This class is perfect for those curious about hot yoga but feel intimidated by the hot room. Explore the body-mind-breath connection while flowing from one posture to another. At 95º F, the room is slightly cooler than during typical hot yoga classes, but participants will still experience many of the benefits of a heated practice.",Living Yoga
Hot Vinyasa,"Hot Vinyasa is an all levels class that will inspire the beginner and challenge those with an established practice. Be prepared to sweat, move and adventure into a deeper relationship with your body and a more profound relationship with life itself. The room is heated to 95-99 degrees. (All levels, but not recommended for brand new beginners and those who do not like the heated room.)",The Yoga Room
Hot Vinyasa Flow,"Our Hot Vinyasa Flow takes you through yoga postures that are linked together and guided with breath. The sequence is different each time but will always build progressively through the class. Generally an athletic practice, this class is practiced using blocks and props as needed making it accessible to a beginner.",Simply Hot Yoga + Fitness
Hot Vinyasa,"80-90 degrees or Unheated (will say on schedule). 60 minutes. All levels.

Feel fully and breathe deeply as you link up breath, body, and movement with this grounding flow. Open to all levels.",Spirit Lab
Power Hour (intermediate),"Breath, meditation, and movement - all you need packed into one sweet hour! Come take a strong Vinyasa-style class designed to get you moving and break a sweat. Prior yoga experience is strongly advised.",Daya
Intermediate Vinyasa Yoga,"Ready to explore? In this 75 minute class, we'll practice familiar standing postures and fluid sequences, as well as tools and techniques that prepare the body for inversions, hand balances, backbends and seated postures. We'll use the extra time together for self practice, a deeper savasana, and a bit more connection to the subtle shifts that come along with a long term practice. An ongoing vinyasa yoga practice is recommended for this class.",Second Story. Pilates+Yoga
VINYASA-LEVEL 2,"This class provides a full spectrum, upbeat practice to music. “Vinyasa” literally means to link. Vinyasa yoga provides an opportunity for the student to link the heart, mind, and body by transitioning with intention, from one asana to the next. The class will move at a steady pace, building internal heat while following the guide of the breath.

Level 2 Geared to the mid level/experienced practitioners. Expect more refined alignment, longer holds, faster pacing at times, options for inversions, options for arm balances. Have a basic understanding of the names of the poses and vinyasa movements.",Abhaya Yoga
Mindful Vinyasa,,Arise Yoga
Sunrise Yoga 45: Vinyasa Yoga,"Start your day with this invigorating, open level practice. Sunrise 45: Vinyasa Yoga is designed to energize the body, deepen the breath, and warm you from the inside out, all in less than an hour! Props and chairs are available for variations. All are welcome!",Second Story. Pilates+Yoga
Creative Morning Vinyasa Flow,Grow and strengthen your practice with this fun and vibrant traditional vinyasa flow. You'll blend traditional technique with creative sequencing to keep your practice fresh and versatile!,Llamaste
Slow Vinyasa,Classic Vinyasa at a slower pace (see below for Classic Vinyasa).,NY loves Yoga
Classic Vinyasa,"Get invigorated in a moderately paced class that links breath to movement, with attention to placement and technique. Strong and sweaty, this class is robust for the yogi athlete in you. Expect a decent number of downward dogs, standing postures, arm balances, and inversions to build heat and cleanse the mind and body.",NY loves Yoga
Yoga In Forest Park,"Take your yoga practice outdoors with a fun and energetic Vinyasa class in Forest Park. Feel the sun on your skin, the breeze in your hair and the grass under your feet as you flow through the poses. You will build strength, become more flexible, and feel energized. (This class is typically offered during the warmer months.)",Living Yoga
Vinyasa,"This particular class helps build a strong core from which one can transition into new positions and exercises. This flow centers around control and precision, with a diversity of exercises and modifications to suit a wide range of levels from beginner to advanced. With this class, you will learn and practice the tools needed to lead a healthy and fit lifestyle, while also remaining mindful in every act you perform. Great for when your feeling active and want more of an energized workout.",Nkisoy Yoga
"Power Vinyasa 
(advanced)","Prior Yoga experience required. This class is perfect for those looking to deepen their practice and bring it to the next level. You will build confidence by practicing inversions and handstands against the wall. A constant flow with synchronizing breath and movement, this class builds heat and is sure to make you sweat.",Daya
Powerful Vinyasa,"The focus of this class is to unite the breath with the movement of the body through an intentionally sequenced series of postures. In this class, you can expect an intense and rewarding challenge for the mind and the body. Classes will often focus on working up to a “peak posture.”",Arise Yoga
Power Vinyasa,,Baby Cobra Yoga
Power Vinyasa,"Radiate energy with fun vinyasa sequences that strengthen and open your body through fast-paced, total-body flows. Power Vinyasa is a full-body experience that will not only develop your athleticism but also provide the mental benefits of a breath-based practice. This plan is a great choice for intermediate yogis looking to build strength and be challenged by high-energy flows. Briohny’s focus on Ujjayi breath linked with continuous movement keeps the mind and body present on the mat.

These classes encourage you to explore your limits and challenge your practice through dynamic and continuous flows that build strength and increase endurance.",Yoga Space
Power Vinyasa,"Put down your salad or your sandwich and head on over to Llamaste for kicka** power vinyasa flow! This 45 minute sequence will ignite your mind-body and tone your core as you move through high intensity based postures and sequencing to work up a sweat, shape the entire body and get you all charged up as you power through the rest of your day. All levels are welcome.",Llamaste
Power Vinyasa - Rise and Shine Flow,"This class will help you create an upbeat morning routine that sets you up for your happiest day. You'll begin with some gentle breath work and stretches, then gear up your body with an invigorating flow - in just 45 minutes giving you time to go home, shower up and prepare for the day! Expect to sweat, get some air time, and feel energized from head to toe!",Llamaste
Sound Healing Vinyasa,Connect to the power inside of you in this Vinyasa-based (movement with breath) practice. Learn how to use the tools of Nadam Yoga (yoga of sound) to uplift your mood and shift your vibration from the inside out.,Arise Yoga
VINYASA FLOW - IN-PERSON,Turn your attention inward as you link your movement to your breath. Work up a sweat as you move through a dynamic series of postures. Open/Intermediate level.,Sury Aside
Vinyasa Yoga,Vinyasa yoga is all about connecting the breath to the ​movement; when in doubt remember the breath ignites the ​pose. During a Vinyasa practice can inner heat may arise in ​the body as you flow from one asana (pose) to the next.,Sol City
Vinyasa Flow,"Join this open level Yoga class as it takes you through a traditional Vinyasa Flow, balance the body and quiet the mind. You'll blend traditional technique with creative sequencing and pranayama breath work to keep your practice fresh and versatile! All levels are welcome.",Llamaste
Vinyasa + Yin,"Unheated. 75-90minutes (will say on schedule). Intermediate/Advanced.

A vigorous vinyasa sequence that is a complete practice. The sequence includes arm meridian stretching, vinyasa flow variations, strength building, opportunities for inversions, and time to travel deeper into traditional postures, backbending, forward folding and more. The journey within is the practice. ",Spirit Lab
Yin Yoga,"Yin Yoga is known as the yoga of Joint and Bone - A slow paced class perfect for sore bodies, runners, athletes, and those who crave a deep relaxing practice. Prepare to dig deep and discover parts of the mind and body you didn't know existed.",Daya
Hot Yin Yoga (for beginners),"Go on an a vast inward journey, exploring the physical, emotional and psychological sensations unleashed when your body stays in a posture for several minutes at a time. Savor each pose, most of which are done sitting or lying down on your mat. The room is only heated to 95º F and feels like a typical Summer day.",Living Yoga
Release & Recharge  (for beginners),Time for selfcare! This class combines three soothing and therapeutic yoga practices. Yin Yoga uses long holds to release tension trapped deep in the body. Restorative Yoga uses blankets and bolsters for support and stability. Yoga Nidra is a guided meditation done lying down to achieve a state of deep relaxation.,Living Yoga
Yin-Yang Mantra,"Duality becomes unity - start with a series of long-held passive poses to stretch sore muscles and open joints. Once our bodies and minds are made open we begin to explore more active movements, squeezing muscle around bone to pull the body together and reintroduce life as heat within the body - poses requiring a greater range of motion become accessible - and end in collective song. How deep do you want to go?",Daya
Yin & Flow  (for beginners),"Enjoy the meditative qualities of Yin Yoga and the energizing sequences of Vinyasa in the same class. During Yin portion of class, body weight and gravity are used to ease muscles into deep streches. In the Flow portion, a dynamic series of asanas will improve strength and endurance. Feel rejuvenated inside and out!",Living Yoga
Yin,"This class works deeply into the connective tissue and joints of the hips, pelvis, and lower spine. Through extended hold of postures find length, space and relaxation.  Let it allll go.",Center Yoga
Yang Yin,"This class is all about balance. The first section of class (Yang) is a challenging and invigorating flow sequence followed by long holds in the floor series to truly and fully relax your body and mind (Yin). Accessible to all levels, you’ll feel amazing after this one!",Modo Yoga NYC
Yin,"A slower, more meditative practice that  uses longer holds to target deep connective tissues like fascia, ligaments and joints. Postures are mainly performed on the floor and held for 2-5 minutes. This class is challenging mentally and may challenge you physically with unfamiliar shapes but feels as wonderful as a restorative practice.",Modo Yoga NYC
Yin Yoga,"Yin Yoga mindfully targets the body's flexibility. Through seated postures held anywhere from three to ten minutes, one can experience greater openness and a sense of lightness.",Yoga Spa
Yin Yoga,Yin yoga focuses on flexibility and stress release much like restorative yoga. Yin goes deeper into flexibility than restorative yoga does and can be quite challenging in a different way than more active styles. The difficulty in Yin is sitting still and feeling the sensations of the stretch which can be mild to intense depending on how you position your body.,Baby Cobra Yoga
Yin Yang Flow,"Yin/Yang yoga is a practice that balances the slow-paced Yin yoga with the traditional Yang yoga (Ashtanga and Hatha). Yin/Yang yoga has its roots in China in the Taoist concepts of yin — a feminine, passive, cooling energy — and yang — a masculine, dynamic, warming energy. Just as the Taoists believe that yin and yang complement each other and one cannot exist without the other, the Yin/Yang yoga practice uses both types of yoga to provide both physical and spiritual balance.
",Baby Cobra Yoga
Yin Yoga,"While “Yang”’ yoga is centered around the more dynamic and active forms of yoga, such as Ashtanga, Power Vinyasa, and Bikram, Yin yoga is a quiet and reflective practice. It requires you to slow down and relax into easy postures. We hold each pose for 2-5 minutes at a time, allowing you to tune into your mind and the physical sensations of your body. Holding the posture passively lets you access the deep connective tissues between your ligaments, tendons, joints, and bones. Yin yoga originates from the Taoist concept of Yin and Yang, the interdependent characteristics of nature. Yin is the unwavering, concealed aspect of things and yang is the changing and eloquent aspect. The tendons, ligaments, and fascia are yin in the body, while the more tensile, pliable muscles are yang. Chinese and Taoist philosophies also believe there are pathways of Qi (energy) that runs through our bodies. It is thought to be that these pathways exist in the connective tissues of our body. By relaxing our muscles through deep stretching, we free any blockages that interrupt Qi from flowing continuously in our bodies. Our room is heated to around 80-85 degrees, creating a warm and comforting atmosphere for meditation.",Yoga Hell
Slow Flow + Yin,,Baby Cobra Yoga
Yin Flow,"In this slower paced class, we release stress in the mind as we melt the body open, using deep breathing and props. We focus on opening the connective tissue (fascia) that covers every square inch of the body. You will be guided into grounded & propped postures and then hold in order to increase mobility while listening to meditative music after a light flow. Each posture pairs a relaxing essential oil. You will practically float out of the classroom feeling lighter, more open and relaxed!",Loom Yoga Center
